id,sector,transaction_type,avg_pct_change_2d,avg_pct_change_30d,total_trades,total_trade_value,period_month,created_at
90,AGX,BUY,5.5093,18.9588,2,,2026-04-01,2026-05-22 21:55:00.239602
91,CAKE,BUY,4.9476,10.7228,1,,2026-04-01,2026-05-22 21:55:00.239602
92,ALXO,BUY,8.3591,23.8390,1,,2026-04-01,2026-05-22 21:55:00.239602
93,WTW,BUY,2.0775,-12.4832,4,,2026-04-01,2026-05-22 21:55:00.239602
94,ZVIA,BUY,-8.8710,4.0323,1,,2026-03-01,2026-05-22 21:55:00.239602
95,VALE,BUY,6.8874,7.1523,2,,2026-04-01,2026-05-22 21:55:00.239602
96,KRC,BUY,0.0000,23.6712,3,,2026-04-01,2026-05-22 21:55:00.239602
97,VLGEA,BUY,0.4181,1.3937,1,,2026-04-01,2026-05-22 21:55:00.239602
98,CNA,BUY,-2.7581,1.9457,1,,2026-03-01,2026-05-22 21:55:00.239602
99,YPF,BUY,8.8718,5.8644,2,,2026-03-01,2026-05-22 21:55:00.239602
100,AIR,BUY,-4.3131,2.2169,1,,2026-03-01,2026-05-22 21:55:00.239602
101,EQPT,BUY,1.5536,4.2465,1,,2026-04-01,2026-05-22 21:55:00.239602
102,OFG,BUY,-0.1004,15.8795,1,,2026-03-01,2026-05-22 21:55:00.239602
103,WSM,BUY,-4.5885,4.1309,1,,2026-03-01,2026-05-22 21:55:00.239602
104,PPTA,BUY,5.5445,16.2345,1,,2026-03-01,2026-05-22 21:55:00.239602
105,FLEX,BUY,4.4950,76.0439,1,,2026-04-01,2026-05-22 21:55:00.239602
106,BANF,BUY,0.7691,2.0509,1,,2026-04-01,2026-05-22 21:55:00.239602
107,BLW,BUY,3.2072,6.6981,1,,2026-04-01,2026-05-22 21:55:00.239602
108,SNDA,BUY,1.7904,-9.8470,1,,2026-02-01,2026-05-22 21:55:00.239602
109,RMR,BUY,-0.3870,14.9684,1,,2026-03-01,2026-05-22 21:55:00.239602
110,AEO,BUY,8.6387,5.9976,1,,2026-04-01,2026-05-22 21:55:00.239602
111,DLTH,BUY,2.8125,1.8750,1,,2026-04-01,2026-05-22 21:55:00.239602
112,BL,BUY,-0.9318,-7.0704,1,,2026-04-01,2026-05-22 21:55:00.239602
113,CPIX,BUY,-7.5163,5.5556,1,,2026-03-01,2026-05-22 21:55:00.239602
114,BDX,BUY,-0.7889,-3.6557,1,,2026-03-01,2026-05-22 21:55:00.239602
115,MCHP,BUY,11.9214,56.4269,1,,2026-04-01,2026-05-22 21:55:00.239602
116,HRL,BUY,-2.4236,-5.2808,1,,2026-03-01,2026-05-22 21:55:00.239602
117,PFIS,BUY,-1.2930,-3.2740,1,,2026-02-01,2026-05-22 21:55:00.239602
118,PTON,BUY,7.8224,11.8393,1,,2026-04-01,2026-05-22 21:55:00.239602
119,ADM,BUY,-6.4735,-5.2438,1,,2026-03-01,2026-05-22 21:55:00.239602
120,PLUG,BUY,25.7009,45.3271,1,,2026-04-01,2026-05-22 21:55:00.239602
121,DBX,BUY,6.8692,18.0978,1,,2026-04-01,2026-05-22 21:55:00.239602
122,FIX,BUY,12.6384,46.6423,3,,2026-04-01,2026-05-22 21:55:00.239602
123,MET,BUY,4.0575,17.5188,1,,2026-04-01,2026-05-22 21:55:00.239602
124,CFBK,BUY,-1.3736,-10.1075,2,,2026-04-01,2026-05-22 21:55:00.239602
125,INSM,BUY,0.0347,-0.7712,1,,2026-03-01,2026-05-22 21:55:00.239602
126,GAIA,BUY,-5.9937,-7.8864,1,,2026-03-01,2026-05-22 21:55:00.239602
127,WAL,BUY,2.9434,-2.9574,1,,2026-04-01,2026-05-22 21:55:00.239602
128,STGW,BUY,2.7331,2.2508,1,,2026-04-01,2026-05-22 21:55:00.239602
129,AWI,BUY,5.6472,-2.6129,1,,2026-04-01,2026-05-22 21:55:00.239602
130,CATY,BUY,1.2505,3.7887,1,,2026-04-01,2026-05-22 21:55:00.239602
131,HBAN,BUY,6.1252,10.7190,1,,2026-04-01,2026-05-22 21:55:00.239602
132,COTY,BUY,-3.1674,6.7873,1,,2026-03-01,2026-05-22 21:55:00.239602
133,INBS,BUY,-11.1399,-31.0881,2,,2026-03-01,2026-05-22 21:55:00.239602
134,LEN,BUY,0.4516,0.3145,2,,2026-04-01,2026-05-22 21:55:00.239602
135,NXST,BUY,-3.1873,-13.6069,1,,2026-03-01,2026-05-22 21:55:00.239602
136,IHS,BUY,-0.1214,0.1214,1,,2026-03-01,2026-05-22 21:55:00.239602
137,FMC,BUY,-0.4018,-22.2158,1,,2026-04-01,2026-05-22 21:55:00.239602
138,BANR,BUY,3.2959,6.7732,1,,2026-04-01,2026-05-22 21:55:00.239602
139,SOPH,BUY,-2.5253,5.4546,6,,2026-04-01,2026-05-22 21:55:00.239602
140,BRFH,BUY,3.8314,-2.2989,1,,2026-03-01,2026-05-22 21:55:00.239602
141,WRAP,BUY,12.3188,14.4928,1,,2026-04-01,2026-05-22 21:55:00.239602
142,STC,BUY,4.5159,22.9046,2,,2026-03-01,2026-05-22 21:55:00.239602
143,ADBE,BUY,1.8075,3.1194,1,,2026-04-01,2026-05-22 21:55:00.239602
144,CPRT,BUY,0.6015,-2.8571,1,,2026-04-01,2026-05-22 21:55:00.239602
145,AFL,BUY,0.3990,2.5758,1,,2026-04-01,2026-05-22 21:55:00.239602
146,RSG,BUY,-2.7263,-2.4171,3,,2026-04-01,2026-05-22 21:55:00.239602
147,VIPS,BUY,4.4997,0.2697,1,,2026-04-01,2026-05-22 21:55:00.239602
148,BDN,BUY,10.4478,11.5672,1,,2026-04-01,2026-05-22 21:55:00.239602
149,JPM,BUY,-2.4387,6.8806,1,,2026-03-01,2026-05-22 21:55:00.239602
150,HQY,BUY,1.0657,0.9922,2,,2026-03-01,2026-05-22 21:55:00.239602
151,ESLT,BUY,2.3947,-12.9472,2,,2026-04-01,2026-05-22 21:55:00.239602
152,TM,BUY,-1.8562,-8.6973,3,,2026-03-01,2026-05-22 21:55:00.239602
153,WRLD,BUY,7.6967,12.6380,1,,2026-04-01,2026-05-22 21:55:00.239602
154,LIXT,BUY,23.2082,76.1092,1,,2026-04-01,2026-05-22 21:55:00.239602
155,SGMO,BUY,-9.6774,-54.8387,1,,2026-04-01,2026-05-22 21:55:00.239602
156,SNAP,BUY,7.1429,1.2500,1,,2026-04-01,2026-05-22 21:55:00.239602
157,ATR,BUY,-4.1390,1.0965,1,,2026-03-01,2026-05-22 21:55:00.239602
158,DXPE,BUY,7.5727,9.4081,1,,2026-04-01,2026-05-22 21:55:00.239602
159,COLB,BUY,-1.5689,8.9279,1,,2026-03-01,2026-05-22 21:55:00.239602
160,SCHL,BUY,0.8068,4.9703,1,,2026-03-01,2026-05-22 21:55:00.239602
161,NXDT,BUY,-11.3082,9.0909,1,,2026-03-01,2026-05-22 21:55:00.239602
162,RGP,BUY,4.9844,7.2022,1,,2026-03-01,2026-05-22 21:55:00.239602
163,AAON,BUY,-7.1183,3.2739,1,,2026-03-01,2026-05-22 21:55:00.239602
164,BBSI,BUY,1.3315,4.8003,1,,2026-03-01,2026-05-22 21:55:00.239602
165,MCO,BUY,2.7890,5.4901,1,,2026-04-01,2026-05-22 21:55:00.239602
166,NNBR,BUY,32.5581,79.8450,1,,2026-03-01,2026-05-22 21:55:00.239602
167,TNDM,BUY,2.5373,-36.2189,1,,2026-04-01,2026-05-22 21:55:00.239602
168,DLTR,BUY,5.0596,-10.4691,1,,2026-04-01,2026-05-22 21:55:00.239602
169,JLL,BUY,3.5726,7.5266,1,,2026-04-01,2026-05-22 21:55:00.239602
170,INSM,BUY,-6.8970,-30.1499,1,,2026-04-01,2026-05-22 21:55:00.239602
171,ENSG,BUY,-0.0949,-11.2981,1,,2026-04-01,2026-05-22 21:55:00.239602
172,FFAI,BUY,-13.6628,4.6512,1,,2026-04-01,2026-05-22 21:55:00.239602
173,TLS,BUY,5.0971,5.8252,1,,2026-03-01,2026-05-22 21:55:00.239602
174,SPWH,BUY,-8.6331,7.9137,1,,2026-03-01,2026-05-22 21:55:00.239602
175,CNDT,BUY,9.0909,32.5758,1,,2026-04-01,2026-05-22 21:55:00.239602
176,RGR,BUY,0.6050,-9.0513,1,,2026-04-01,2026-05-22 21:55:00.239602
