id,insider_name,insider_title,company_name,ticker,total_trades,avg_pct_change_30d,total_trade_value,win_rate,created_at
113,Chen Chad,,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,FFAI,1,4.6512,,100.00,2026-05-22 21:55:00.311389
114,Jones James,,CUMBERLAND PHARMACEUTICALS INC,CPIX,1,5.5556,,100.00,2026-05-22 21:55:00.311389
115,Spiegel Noel Joseph,,AMERICAN EAGLE OUTFITTERS INC,AEO,1,5.9976,,100.00,2026-05-22 21:55:00.311389
116,Puylaert Kevin,,SOPHiA GENETICS SA,SOPH,1,6.8687,,100.00,2026-05-22 21:55:00.311389
117,Wolin Dylan Zachary,,AAR CORP,AIR,1,2.2169,,100.00,2026-05-22 21:55:00.311389
118,Pierozzi Lisa,,"RESOURCES CONNECTION, INC.",RGP,1,7.2022,,100.00,2026-05-22 21:55:00.311389
119,Leopold Robin,,JPMORGAN CHASE & CO,JPM,1,6.8806,,100.00,2026-05-22 21:55:00.311389
120,Wolfe Serena,,LENNAR CORP /NEW/,LEN,1,0.3145,,100.00,2026-05-22 21:55:00.311389
121,Wang Shally,,CATHAY GENERAL BANCORP,CATY,1,3.7887,,100.00,2026-05-22 21:55:00.311389
122,Tlili Hedi,,"APTARGROUP, INC.",ATR,1,1.0965,,100.00,2026-05-22 21:55:00.311389
123,Reed Terrence,,COMFORT SYSTEMS USA INC,FIX,1,46.6423,,100.00,2026-05-22 21:55:00.311389
124,Marquardt David,,EquipmentShare.com Inc,EQPT,1,4.2465,,100.00,2026-05-22 21:55:00.311389
125,"Japan Post Holdings Co., Ltd.",,AFLAC INC,AFL,1,2.5758,,100.00,2026-05-22 21:55:00.311389
126,Homolka David,,DULUTH HOLDINGS INC.,DLTH,1,1.8750,,100.00,2026-05-22 21:55:00.311389
127,Smith Dacona,,LENNAR CORP /NEW/,LEN,1,0.3145,,100.00,2026-05-22 21:55:00.311389
128,Aldeco Marcelo Gustavo,,YPF SOCIEDAD ANONIMA,YPF,1,7.5308,,100.00,2026-05-22 21:55:00.311389
129,Li Tianmin,,Vipshop Holdings Ltd,VIPS,1,0.2697,,100.00,2026-05-22 21:55:00.311389
130,Richards Paul,,NEXPOINT DIVERSIFIED REAL ESTATE TRUST,NXDT,1,9.0909,,100.00,2026-05-22 21:55:00.311389
131,Rosner Elimelech,,"HEALTHEQUITY, INC.",HQY,1,0.9922,,100.00,2026-05-22 21:55:00.311389
132,Shaeff Julie,,COMFORT SYSTEMS USA INC,FIX,1,46.6423,,100.00,2026-05-22 21:55:00.311389
133,Tan Lay Koon,,FLEX LTD.,FLEX,1,76.0439,,100.00,2026-05-22 21:55:00.311389
134,Fall Jung Jennifer,,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",SPWH,1,7.9137,,100.00,2026-05-22 21:55:00.311389
135,Krug Jennifer Jane,,BANNER CORP,BANR,1,6.7732,,100.00,2026-05-22 21:55:00.311389
136,Van Well Daan,,SOPHiA GENETICS SA,SOPH,1,6.8687,,100.00,2026-05-22 21:55:00.311389
137,Muken Ross,,SOPHiA GENETICS SA,SOPH,1,4.0404,,100.00,2026-05-22 21:55:00.311389
138,Kuehling Jeffrey,,KILROY REALTY CORP,KRC,1,23.6712,,100.00,2026-05-22 21:55:00.311389
139,Martin Mauricio Alejandro,,YPF SOCIEDAD ANONIMA,YPF,1,4.1980,,100.00,2026-05-22 21:55:00.311389
140,Watson David Hibbert,,ARGAN INC,AGX,1,18.9588,,100.00,2026-05-22 21:55:00.311389
141,Greene Ryan,,Stagwell Inc,STGW,1,2.2508,,100.00,2026-05-22 21:55:00.311389
142,Valente Manuela,,SOPHiA GENETICS SA,SOPH,1,4.0404,,100.00,2026-05-22 21:55:00.311389
143,Cole Andrew Phillip,,PERPETUA RESOURCES CORP.,PPTA,1,16.2345,,100.00,2026-05-22 21:55:00.311389
144,Bjornholt James Eric,,MICROCHIP TECHNOLOGY INC,MCHP,1,56.4269,,100.00,2026-05-22 21:55:00.311389
145,Arizmendi Maritza,,OFG BANCORP,OFG,1,15.8795,,100.00,2026-05-22 21:55:00.311389
146,Neuenschwander Jeffrey John,,CNA FINANCIAL CORP,CNA,1,1.9457,,100.00,2026-05-22 21:55:00.311389
147,Fischer Carsten,,COTY INC.,COTY,1,6.7873,,100.00,2026-05-22 21:55:00.311389
148,Saad William,,IHS Holding Ltd,IHS,1,0.1214,,100.00,2026-05-22 21:55:00.311389
149,Seitz Michelle,,METLIFE INC,MET,1,17.5188,,100.00,2026-05-22 21:55:00.311389
150,Joggerst Patrick,,PLUG POWER INC,PLUG,1,45.3271,,100.00,2026-05-22 21:55:00.311389
151,Bloxam Richard,,JONES LANG LASALLE INC,JLL,1,7.5266,,100.00,2026-05-22 21:55:00.311389
152,Santos David Molero,,DXP ENTERPRISES INC,DXPE,1,9.4081,,100.00,2026-05-22 21:55:00.311389
153,Schubach Sarah Elizabeth,,"DROPBOX, INC.",DBX,1,18.0978,,100.00,2026-05-22 21:55:00.311389
154,Neuman Shawn,,BRANDYWINE REALTY TRUST,BDN,1,11.5672,,100.00,2026-05-22 21:55:00.311389
155,Smart Justin William,,KILROY REALTY CORP,KRC,1,23.6712,,100.00,2026-05-22 21:55:00.311389
156,Lakely Brock,,"COLUMBIA BANKING SYSTEM, INC.",COLB,1,8.9279,,100.00,2026-05-22 21:55:00.311389
157,Trent T McKenna,,COMFORT SYSTEMS USA INC,FIX,1,46.6423,,100.00,2026-05-22 21:55:00.311389
158,Glaze Brian,,STEWART INFORMATION SERVICES CORP,STC,1,22.9046,,100.00,2026-05-22 21:55:00.311389
159,Sheckler Erinlea,,STEWART INFORMATION SERVICES CORP,STC,1,22.9046,,100.00,2026-05-22 21:55:00.311389
160,Satya Girish,,Zevia PBC,ZVIA,1,4.0323,,100.00,2026-05-22 21:55:00.311389
161,Santhanakrishnan Senthilkumar,,HUNTINGTON BANCSHARES INC /MD/,HBAN,1,10.7190,,100.00,2026-05-22 21:55:00.311389
162,Arap Sobrinho Sami,,Vale S.A.,VALE,1,7.1523,,100.00,2026-05-22 21:55:00.311389
163,Mohan Ajit,,Snap Inc,SNAP,1,1.2500,,100.00,2026-05-22 21:55:00.311389
164,Bernstein Bruce,,"WRAP TECHNOLOGIES, INC.",WRAP,1,14.4928,,100.00,2026-05-22 21:55:00.311389
165,Matricciani Janet Lewis,,WORLD ACCEPTANCE CORP,WRLD,1,12.6380,,100.00,2026-05-22 21:55:00.311389
166,Perri Luigi,,VILLAGE SUPER MARKET INC,VLGEA,1,1.3937,,100.00,2026-05-22 21:55:00.311389
167,Fauber Robert,,MOODYS CORP /DE/,MCO,1,5.4901,,100.00,2026-05-22 21:55:00.311389
168,Stazzone Peter,,"LIXTE BIOTECHNOLOGY HOLDINGS, INC.",LIXT,1,76.1092,,100.00,2026-05-22 21:55:00.311389
169,Wanzer Dara,,BANCFIRST CORP /OK/,BANF,1,2.0509,,100.00,2026-05-22 21:55:00.311389
170,Abate George Joseph,,CONDUENT Inc,CNDT,1,32.5758,,100.00,2026-05-22 21:55:00.311389
171,Thompson Rebecca,,"AAON, INC.",AAON,1,3.2739,,100.00,2026-05-22 21:55:00.311389
172,Bendza Gary Mark,,TELOS CORP,TLS,1,5.8252,,100.00,2026-05-22 21:55:00.311389
173,Plevneliev Rosen,,RMR GROUP INC.,RMR,1,14.9684,,100.00,2026-05-22 21:55:00.311389
174,May Scarlett,,CHEESECAKE FACTORY INC,CAKE,1,10.7228,,100.00,2026-05-22 21:55:00.311389
175,Schwartz Sherrie Sage,,KILROY REALTY CORP,KRC,1,23.6712,,100.00,2026-05-22 21:55:00.311389
176,Camblong Jurgi,,SOPHiA GENETICS SA,SOPH,1,4.0404,,100.00,2026-05-22 21:55:00.311389
177,Menu Philippe,,SOPHiA GENETICS SA,SOPH,1,6.8687,,100.00,2026-05-22 21:55:00.311389
178,Finn Mark Steven,,BARRETT BUSINESS SERVICES INC,BBSI,1,4.8003,,100.00,2026-05-22 21:55:00.311389
179,Klencke Barbara,,ALX ONCOLOGY HOLDINGS INC,ALXO,1,23.8390,,100.00,2026-05-22 21:55:00.311389
180,Tavares Nogueira Rogerio,,Vale S.A.,VALE,1,7.1523,,100.00,2026-05-22 21:55:00.311389
181,Kirol Charles Peter,,"PELOTON INTERACTIVE, INC.",PTON,1,11.8393,,100.00,2026-05-22 21:55:00.311389
182,Hukkanen Paul,,SCHOLASTIC CORP,SCHL,1,4.9703,,100.00,2026-05-22 21:55:00.311389
183,Carroll Christina,,NN INC,NNBR,1,79.8450,,100.00,2026-05-22 21:55:00.311389
184,Baugher Joshua Scott,,ARGAN INC,AGX,1,18.9588,,100.00,2026-05-22 21:55:00.311389
185,Holloman James Phillip,,BLACKROCK Ltd DURATION INCOME TRUST,BLW,1,6.6981,,100.00,2026-05-22 21:55:00.311389
186,Forusz Jillian,,ADOBE INC.,ADBE,1,3.1194,,100.00,2026-05-22 21:55:00.311389
187,Howie Jeffrey,,WILLIAMS SONOMA INC,WSM,1,4.1309,,100.00,2026-05-22 21:55:00.311389
188,Ladd Delano,,"HEALTHEQUITY, INC.",HQY,1,0.9922,,100.00,2026-05-22 21:55:00.311389
189,Hess Carl Aaron,,WILLIS TOWERS WATSON PLC,WTW,1,-11.2273,,0.00,2026-05-22 21:55:00.311389
190,Imura Takahiro,,TOYOTA MOTOR CORP/,TM,1,-8.6973,,0.00,2026-05-22 21:55:00.311389
191,Jain Nikunj,,"SANGAMO THERAPEUTICS, INC",SGMO,1,-54.8387,,0.00,2026-05-22 21:55:00.311389
192,Clarke Lucy,,WILLIS TOWERS WATSON PLC,WTW,1,-13.7390,,0.00,2026-05-22 21:55:00.311389
193,Jones Regina,,Archer-Daniels-Midland Co,ADM,1,-5.2438,,0.00,2026-05-22 21:55:00.311389
194,Richardson Larson,,"REPUBLIC SERVICES, INC.",RSG,1,-2.4171,,0.00,2026-05-22 21:55:00.311389
195,Lewis William,,INSMED Inc,INSM,2,-15.4606,,0.00,2026-05-22 21:55:00.311389
196,Kyrillos Jean-Claude,,TANDEM DIABETES CARE INC,TNDM,1,-36.2189,,0.00,2026-05-22 21:55:00.311389
197,Boyages Steven Constantine,,INTELLIGENT BIO SOLUTIONS INC.,INBS,1,-31.0881,,0.00,2026-05-22 21:55:00.311389
198,Kurpis Joseph Stephen,,WILLIS TOWERS WATSON PLC,WTW,1,-11.2273,,0.00,2026-05-22 21:55:00.311389
199,Johnson KLynne,,FMC CORP,FMC,1,-22.2158,,0.00,2026-05-22 21:55:00.311389
200,Rivers Aaron Roszell,,STURM RUGER & CO INC,RGR,1,-9.0513,,0.00,2026-05-22 21:55:00.311389
201,Glendinning Stewart,,"DOLLAR TREE, INC.",DLTR,1,-10.4691,,0.00,2026-05-22 21:55:00.311389
202,Rodriguez Courtney,,"REPUBLIC SERVICES, INC.",RSG,1,-2.4171,,0.00,2026-05-22 21:55:00.311389
203,Meder Timothy,,CF BANKSHARES INC.,CFBK,1,-10.1075,,0.00,2026-05-22 21:55:00.311389
204,Grizzle Victor,,ARMSTRONG WORLD INDUSTRIES INC,AWI,1,-2.6129,,0.00,2026-05-22 21:55:00.311389
205,Feld Michael,,BECTON DICKINSON & CO,BDX,1,-3.6557,,0.00,2026-05-22 21:55:00.311389
206,Kirtley Timothy,,PEOPLES FINANCIAL SERVICES CORP.,PFIS,1,-3.2740,,0.00,2026-05-22 21:55:00.311389
207,Parkinson Mark Vincent,,"ENSIGN GROUP, INC",ENSG,1,-11.2981,,0.00,2026-05-22 21:55:00.311389
208,Kawai Mitsuru,,TOYOTA MOTOR CORP/,TM,1,-8.6973,,0.00,2026-05-22 21:55:00.311389
209,Nachlas Emily,,WESTERN ALLIANCE BANCORPORATION,WAL,1,-2.9574,,0.00,2026-05-22 21:55:00.311389
210,Brummer Gregg,,"REPUBLIC SERVICES, INC.",RSG,1,-2.4171,,0.00,2026-05-22 21:55:00.311389
211,McMillen Charles Thomas,,"NEXSTAR MEDIA GROUP, INC.",NXST,1,-13.6069,,0.00,2026-05-22 21:55:00.311389
212,Delle Coste Riccardo,,BARFRESH FOOD GROUP INC.,BRFH,1,-2.2989,,0.00,2026-05-22 21:55:00.311389
213,Liaw Jeffrey,,COPART INC,CPRT,1,-2.8571,,0.00,2026-05-22 21:55:00.311389
214,Vered Yehuda,,ELBIT SYSTEMS LTD,ESLT,1,-12.9472,,0.00,2026-05-22 21:55:00.311389
215,White Steven Andrew,,HORMEL FOODS CORP /DE/,HRL,1,-5.2808,,0.00,2026-05-22 21:55:00.311389
216,Sutherland Paul Howard,,"GAIA, INC",GAIA,1,-7.8864,,0.00,2026-05-22 21:55:00.311389
217,Detz Kevin,,"SONIDA SENIOR LIVING, INC.",SNDA,1,-9.8470,,0.00,2026-05-22 21:55:00.311389
218,Sabag Oren Yaacov,,ELBIT SYSTEMS LTD,ESLT,1,-12.9472,,0.00,2026-05-22 21:55:00.311389
219,McKinney Marianne,,CF BANKSHARES INC.,CFBK,1,-10.1075,,0.00,2026-05-22 21:55:00.311389
220,Ung Jeremy,,"BLACKLINE, INC.",BL,1,-7.0704,,0.00,2026-05-22 21:55:00.311389
221,Hurd Jonathan Scott,,INTELLIGENT BIO SOLUTIONS INC.,INBS,1,-31.0881,,0.00,2026-05-22 21:55:00.311389
222,Gebauer Julie Jarecke,,WILLIS TOWERS WATSON PLC,WTW,1,-13.7390,,0.00,2026-05-22 21:55:00.311389
223,Osada Hiromi,,TOYOTA MOTOR CORP/,TM,1,-8.6973,,0.00,2026-05-22 21:55:00.311389
